SKU,Product Title,Order ID,Shipping Province,Date,Product Price,Compare At price,Net Sales,Discount,Net Quantity,Status,Color,Brand,Group,Department,Class,Sub-Class,Collection,Customer Type
42114,UGG Women's Goldenstar Clog / Chestnut,6.26E+12,British Columbia,12-21-2025 00:00,165,165,165,0,1,Full Price,BRN,UGG,Footwear,Womens Footwear,Sandals,Clogs,GOLDENSTAR,Returning Customer
[Shippin,[Shipping],6.26E+12,British Columbia,12-21-2025 00:00,0,0,0,0,0,Full Price,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Returning Customer
42425,Air Jordan 1 Low White / Blue / Navy,6.26E+12,Ontario,12-21-2025 00:02,110,150,100,-10,1,Markdown,WHT,Jordan,Footwear,Mens Footwear,Basketball,Lifestyle,AJ1 LOW,First Time Customer
[Shippin,[Shipping],6.26E+12,Ontario,12-21-2025 00:02,0,0,0,0,0,Full Price,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,First Time Customer
30597,Nike Zoom Vomero 5 Wolf Grey / White - Metallic Silver,6.26E+12,British Columbia,12-21-2025 00:03,145,210,135,-10,1,Markdown,GRY,Nike,Footwear,Mens Footwear,Athletic Casual,Running Inspired,VOMERO,First Time Customer
[Shippin,[Shipping],6.26E+12,British Columbia,12-21-2025 00:03,0,0,0,0,0,Full Price,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,First Time Customer
34433,Ed Hardy Horses T-shirt / Vintage Black,6.26E+12,Alberta,12-21-2025 00:04,35,75,33.16,-1.84,1,Markdown,BLK,Ed Hardy,Apparel,Mens Apparel,Top,Graphic T-shirt,,First Time Customer
42668,Hoodrich OG Aurora Gilet Black / White - Reflective,6.26E+12,Alberta,12-21-2025 00:04,75,200,71.05,-3.95,1,Markdown,BLK,HOODRICH,Apparel,Mens Apparel,Jacket,Gilet,,First Time Customer
44001,Hoodrich Dark Oversized Hoodie / Glacier Lake,6.26E+12,Alberta,12-21-2025 00:04,80,150,75.79,-4.21,1,Markdown,BLU,HOODRICH,Apparel,Mens Apparel,Mid Layer,Sweatshirt,,First Time Customer
[Shippin,[Shipping],6.26E+12,Alberta,12-21-2025 00:04,0,0,0,0,0,Full Price,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,First Time Customer
9455,Nike Women's Dunk Low White / Black - White,6.26E+12,Saskatchewan,12-21-2025 00:05,150,0,150,0,1,Full Price,WHT,Nike,Footwear,Womens Footwear,Basketball,Lifestyle,DUNK,Returning Customer
31673,Nike Juniors' Futura T-Shirt / Game Royal,6.26E+12,Saskatchewan,12-21-2025 00:05,24,0,24,0,1,Full Price,BLU,Nike,Apparel,Junior Apparel,Top,Basic T-shirt,FUTURA,Returning Customer
32718,Nike Air Max 95 GS Cool Grey / Psychic Blue,6.26E+12,Ontario,12-21-2025 00:05,110,165,110,0,1,Markdown,GRY,Nike,Footwear,Junior Footwear,Running,Visible Tech,AM95,Returning Customer
33418,Nike Sportswear Club Juniors' Woven Joggers Black / White,6.26E+12,Saskatchewan,12-21-2025 00:05,38,50,38,0,1,Markdown,BLK,Nike,Apparel,Junior Apparel,Bottoms,Joggers,CLUB FLEECE,Returning Customer
33668,Nike Club Fleece Pullover Hoodie Dark Grey Heather / Light Smoke Grey - White,6.26E+12,Ontario,12-21-2025 00:05,80,0,80,0,1,Full Price,GRY,Nike,Apparel,Mens Apparel,Mid Layer,Sweatshirt,CLUB FLEECE,Returning Customer
33669,Nike Club Fleece Joggers Dark Grey Heather / Light Smoke Grey - White,6.26E+12,Ontario,12-21-2025 00:05,55,75,55,0,1,Markdown,GRY,Nike,Apparel,Mens Apparel,Bottoms,Joggers,CLUB FLEECE,Returning Customer
42556,Jordan 1 Low TD Medium Soft Pink / Pearl Pink - White,6.26E+12,Saskatchewan,12-21-2025 00:05,50,70,50,0,1,Markdown,PNK,Jordan,Footwear,Infants Footwear,Basketball,Lifestyle,AJ1 LOW,Returning Customer
[Shippin,[Shipping],6.26E+12,Ontario,12-21-2025 00:05,0,0,0,0,0,Full Price,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Returning Customer
[Shippin,[Shipping],6.26E+12,Saskatchewan,12-21-2025 00:05,0,0,0,0,0,Full Price,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Returning Customer
33926,Ed Hardy Skull Pullover Hoodie / Black,6.26E+12,Ontario,12-21-2025 00:08,40,105,40,0,1,Markdown,BLK,Ed Hardy,Apparel,Mens Apparel,Mid Layer,Sweatshirt,,Returning Customer
[Shippin,[Shipping],6.26E+12,Ontario,12-21-2025 00:08,0,0,0,0,0,Full Price,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Returning Customer
34556,Jordan 1 Low Black / Starfish - White - Sail,6.26E+12,Newfoundland and Labrador,12-21-2025 00:11,110,150,110,0,1,Markdown,WHT,Jordan,Footwear,Mens Footwear,Basketball,Lifestyle,AJ1 LOW,First Time Customer
[Shippin,[Shipping],6.26E+12,Newfoundland and Labrador,12-21-2025 00:11,0,0,0,0,0,Full Price,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,First Time Customer
34364,adidas Originals Women's Tokyo Off White / Core Black - Gold,6.26E+12,Quebec,12-21-2025 00:12,80,120,80,0,1,Markdown,WHT,adidas,Footwear,Womens Footwear,Athletic Casual,Court Inspired,TOKYO,Returning Customer
[Shippin,[Shipping],6.26E+12,Quebec,12-21-2025 00:12,0,0,0,0,0,Full Price,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Returning Customer
8225,Nike Air Force 1 '07 White / White - White,6.26E+12,Ontario,12-21-2025 00:13,150,0,150,0,1,Full Price,WHT,Nike,Footwear,Mens Footwear,Basketball,Retro,AIR FORCE 1,Returning Customer
42141,Jordan Brooklyn Collegiate Hockey Jersey Sail / Starfish - Black,6.26E+12,Ontario,12-21-2025 00:13,65,110,65,0,1,Markdown,WHT,Jordan,Apparel,Mens Apparel,Top,Jersey,,Returning Customer
42424,Air Jordan 1 Low SE Black / Yellow,6.26E+12,Ontario,12-21-2025 00:13,120,165,120,0,1,Markdown,BLK,Jordan,Footwear,Mens Footwear,Basketball,Lifestyle,AJ1 LOW,Returning Customer
43759,Nike ReactX Rejuven8 Smoke Grey / Smoke Grey,6.26E+12,British Columbia,12-21-2025 00:13,64,85,64,0,1,Markdown,GRY,Nike,Footwear,Mens Footwear,Sandals,Sport Slide,REJUVEN8,First Time Customer
[Shippin,[Shipping],6.26E+12,Ontario,12-21-2025 00:13,0,0,0,0,0,Full Price,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Returning Customer
[Shippin,[Shipping],6.26E+12,British Columbia,12-21-2025 00:13,0,0,0,0,0,Full Price,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,First Time Customer
34858,Nike Dunk Low SE GS Particle Rose / Black,6.26E+12,Ontario,12-21-2025 00:16,80,110,80,0,1,Markdown,PNK,Nike,Footwear,Junior Footwear,Basketball,Lifestyle,DUNK,Returning Customer
[Shippin,[Shipping],6.26E+12,Ontario,12-21-2025 00:16,0,0,0,0,0,Full Price,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Returning Customer
42111,UGG Women's Tazz II / Dusted Cocoa,6.26E+12,British Columbia,12-21-2025 00:19,175,175,175,0,1,Full Price,BRN,UGG,Footwear,Womens Footwear,Sandals,Clogs,TAZZ,First Time Customer
[Shippin,[Shipping],6.26E+12,British Columbia,12-21-2025 00:19,0,0,0,0,0,Full Price,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,First Time Customer
31236,New Balance 740 Linen / Timberwolf,6.26E+12,Quebec,12-21-2025 00:20,80,140,80,0,1,Markdown,WHT,New Balance,Footwear,Mens Footwear,Running,Lifestyle,740,First Time Customer
31962,PUMA Women's Speedcat OG Black / White,6.26E+12,Quebec,12-21-2025 00:20,80,130,80,0,1,Markdown,BLK,Puma,Footwear,Womens Footwear,Athletic Casual,Running Inspired,SPEEDCAT,First Time Customer
[Shippin,[Shipping],6.26E+12,Quebec,12-21-2025 00:20,0,0,0,0,0,Full Price,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,First Time Customer
34602,New Balance Fresh Foam 1080v14 White / Lime Leaf,6.26E+12,British Columbia,12-21-2025 00:23,115,210,105,-10,1,Markdown,WHT,New Balance,Footwear,Mens Footwear,Running,Lifestyle,1080,Returning Customer
[Shippin,[Shipping],6.26E+12,British Columbia,12-21-2025 00:23,0,0,0,0,0,Full Price,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Returning Customer
24924,"Nike Pro Women's 365 5"" Shorts Black / White",6.26E+12,Alberta,12-21-2025 00:24,30,40,27.27,-2.73,1,Markdown,BLK,Nike,Apparel,Womens Apparel,Fitness,Shorts,PRO,First Time Customer
42055,Nike Club Fleece Bungee Pants / Heather Grey,6.26E+12,Alberta,12-21-2025 00:24,80,0,72.73,-7.27,1,Full Price,GRY,Nike,Apparel,Mens Apparel,Bottoms,Pants,CLUB FLEECE,First Time Customer
[Shippin,[Shipping],6.26E+12,Alberta,12-21-2025 00:24,0,0,0,0,0,Full Price,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,First Time Customer
24485,Jordan Legend Juniors' Crew Socks Box Set (6 Pack) / Black,6.26E+12,British Columbia,12-21-2025 00:33,19,25,17.31,-1.69,1,Markdown,WHT,Jordan,Accessories,Clothing Accessories,Socks,Crew,MISCELLANEOUS,First Time Customer
33851,Supply & Demand Junior Boys' Martinez Tee Red / Black,6.26E+12,British Columbia,12-21-2025 00:33,10,35,9.11,-0.89,1,Markdown,RED,Supply and Demand,Apparel,Junior Apparel,Top,Graphic T-shirt,,First Time Customer
33898,Crocs Women's Classic Floral Cut Out Clog / Pink Milk,6.26E+12,British Columbia,12-21-2025 00:33,20,69.99,18.24,-1.76,1,Markdown,PNK,Crocs,Footwear,Womens Footwear,Sandals,Clogs,CLASSIC,First Time Customer
34547,Jordan 1 Retro High OG Black / Sail - Starfish,6.26E+12,British Columbia,12-21-2025 00:33,235,0,235,0,1,Full Price,WHT,Jordan,Footwear,Mens Footwear,Basketball,Lifestyle,RETRO,First Time Customer
41926,Nike V5 RNR GS White / Metallic Silver - Pure Platinum,6.26E+12,British Columbia,12-21-2025 00:33,64,85,58.34,-5.66,1,Markdown,WHT,Nike,Footwear,Junior Footwear,Running,Lifestyle,V5 RNR,First Time Customer
[Shippin,[Shipping],6.26E+12,British Columbia,12-21-2025 00:33,0,0,0,0,0,Full Price,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,First Time Customer
[Shippin,[Shipping],6.26E+12,British Columbia,12-21-2025 00:33,0,0,0,0,0,Full Price,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,First Time Customer
42048,adidas Junior's Adizero Evo SL Black / White - Carbon,6.26E+12,Ontario,12-21-2025 00:35,100,140,100,0,1,Markdown,BLK,adidas,Footwear,Junior Footwear,Athletic Casual,Running Inspired,EVO SL,Returning Customer
[Shippin,[Shipping],6.26E+12,Ontario,12-21-2025 00:35,0,0,0,0,0,Full Price,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Returning Customer
29448,Timberland 6-Inch Premium Waterproof Boot / Wheat,6.26E+12,Alberta,12-21-2025 00:39,220,0,220,0,1,Full Price,BRN,Timberland,Footwear,Mens Footwear,Outdoor/Boots,Fashion,6 INCH,First Time Customer
[Shippin,[Shipping],6.26E+12,Alberta,12-21-2025 00:39,0,0,0,0,0,Full Price,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,First Time Customer
