SKU,Product Title,Order ID,Shipping Province,Date,Product Price,Compare At price,Net Sales,Discount,Net Quantity,Status,Color,Brand,Group,Department,Class,Sub-Class,Collection,Customer Type
25057,Nike Club Woven Tapered-Leg Pants Black / White,6.11E+12,British Columbia,10-05-2025 00:00,45,85,40.91,-4.09,1,Markdown,BLK,Nike,Apparel,Mens Apparel,Bottoms,Pants,Nike Sportswear Club Woven Taper Pants Black / White,Returning Customer
31059,adidas Samba OG Clear Granite / Grey - Core Black,6.11E+12,British Columbia,10-05-2025 00:00,65,130,59.09,-5.91,1,Markdown,GRY,adidas,Footwear,Mens Footwear,Athletic Casual,Court Inspired,adidas Samba OG Clear Granite / Grey - Core Black,Returning Customer
46778,Converse Chuck 70 Hi Dark Root,6.11E+12,Ontario,10-05-2025 00:00,100,0,100,0,1,Full Price,RED,Converse,Footwear,Mens Footwear,Athletic Casual,Court Inspired,Converse Chuck 70 Hi / Dark Root,First Time Customer
[Shippin,[Shipping],6.11E+12,Ontario,10-05-2025 00:00,0,0,0,0,0,Full Price,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,First Time Customer
[Shippin,[Shipping],6.11E+12,British Columbia,10-05-2025 00:00,0,0,0,0,0,Full Price,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Returning Customer
6542,Nike Zoom Vomero 5 SP / Vast Grey,6.11E+12,Alberta,10-05-2025 00:01,210,0,210,0,1,Full Price,GRY,Nike,Footwear,Mens Footwear,Athletic Casual,Running Inspired,Nike Zoom Vomero 5 Vast Grey / Vast Grey - Black,Returning Customer
[Shippin,[Shipping],6.11E+12,Alberta,10-05-2025 00:01,0,0,0,0,0,Full Price,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Returning Customer
42652,Hoodrich Tornado Oversized Open Hem Jogger Lava Smoke / Whit,6.11E+12,Ontario,10-05-2025 00:02,110,0,110,0,1,Full Price,GRY,HOODRICH,Apparel,Mens Apparel,Bottoms,Joggers,$JD Hoodrich Tornado Oversized Open Hem Jogger Smoke/ Wht,First Time Customer
42670,Hoodrich Rebellion Straight Leg Denim / Grey,6.11E+12,Ontario,10-05-2025 00:02,150,0,150,0,1,Full Price,GRY,HOODRICH,Apparel,Mens Apparel,Bottoms,Jeans,$JD Hoodrich Rebellion Straight Leg Denim / Grey,First Time Customer
[Shippin,[Shipping],6.11E+12,Ontario,10-05-2025 00:02,0,0,0,0,0,Full Price,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,First Time Customer
31475,Nike Dunk Low Retro White / Light Smoke,6.11E+12,Alberta,10-05-2025 00:06,150,0,150,0,1,Full Price,WHT,Nike,Footwear,Mens Footwear,Basketball,Lifestyle,Nike Dunk Low Retro White / Light Smoke,First Time Customer
[Shippin,[Shipping],6.11E+12,Alberta,10-05-2025 00:06,0,0,0,0,0,Full Price,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,First Time Customer
32005,adidas Anthony Edwards 1 Low Grey / Black - Orange,6.11E+12,Northwest Territories,10-05-2025 00:12,85,140,76.9,-8.1,1,Markdown,GRY,adidas,Footwear,Mens Footwear,Basketball,Signature,adidas AE1 Low Iron Metallic / Core Black,First Time Customer
33930,Ed Hardy Crawling Tiger Graphic T-Shirt / Ivory,6.11E+12,Northwest Territories,10-05-2025 00:12,20,75,18.1,-1.9,1,Markdown,WHT,Ed Hardy,Apparel,Mens Apparel,Top,Graphic T-shirt,Ed Hardy Crawling Tiger Graphic T-Shirt / Ivory,First Time Customer
[Shippin,[Shipping],6.11E+12,Northwest Territories,10-05-2025 00:12,0,0,0,0,0,Full Price,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,First Time Customer
31750,Reebok Women's Classic AZ Barely Grey / Barely Grey - White,6.11E+12,Alberta,10-05-2025 00:14,45,100,45,0,1,Markdown,GRY,Reebok,Footwear,Womens Footwear,Athletic Casual,Running Inspired,Reebok Women's Classic AZ Barely Grey / Barely Grey - White,First Time Customer
31750,Reebok Women's Classic AZ Barely Grey / Barely Grey - White,6.11E+12,Alberta,10-05-2025 00:14,45,100,45,0,1,Markdown,GRY,Reebok,Footwear,Womens Footwear,Athletic Casual,Running Inspired,Reebok Women's Classic AZ Barely Grey / Barely Grey - White,First Time Customer
